identifier,votes,pref,value
601066773-1,"['1-4', '1-3', '3-1', '1-2', '1-5']",0,1.0
655747296-1,"['3-3', '3-1', '3-2', '1-2', '1-5', '1-1', '1-3', '1-4', '2-1', '2-2']",0,1.0
689828301-1,"['3-3', '3-2', '3-1', '1-4', '1-3']",0,1.0
697657182-1,"['1-4', '1-5', '3-1', '1-3', '1-1']",0,1.0
700150417-1,"['3-1', '3-3', '1-1', '3-2', '1-4']",0,1.0
707249362-1,"['1-4', '4-2', '1-3', '5-2', '4-4']",0,1.0
731218363-1,"['3-3', '3-1', '3-2', '1-4', '1-3', '1-5', '1-1', '1-2']",0,1.0
740661442-1,"['1-4', '1-1', '1-3', '1-2', '1-5']",0,1.0
743420925-1,"['1-4', '1-3', '1-1', '1-2', '1-5']",0,1.0
794480336-1,"['3-1', '3-2', '3-3', '2-1', '1-4']",0,1.0
809100905-1,"['3-1', '3-2', '3-3', '1-5', '1-1']",0,1.0
811198689-1,"['3-3', '2-2', '5-1', '4-1', '1-1', '6-2', '7-1', '8-1']",0,1.0
819545902-1,"['3-3', '3-1', '3-2', '1-3', '1-4']",0,1.0
822690298-1,"['1-4', '2-2', '8-2', '5-2', '1-1']",0,1.0
891749324-1,"['3-3', '3-2', '3-1', '1-4', '4-5', '1-2', '1-3', '1-5', '1-1', '4-4', '4-3', '4-2', '4-1', '2-2', '2-1', '8-2', '8-1', '5-2', '5-1', '6-2', '6-1', '7-2', '7-1']",0,1.0
917327306-1,"['3-3', '1-3', '6-1', '5-1', '4-3']",0,1.0
922378729-1,"['1-4', '1-3', '1-5', '1-1', '1-2', '3-1', '3-2', '3-3', '6-1', '6-2', '2-1', '2-2', '7-1', '7-2', '8-1', '8-2', '5-1', '5-2', '4-1', '4-2', '4-4', '4-3', '4-5']",0,1.0
940881573-1,"['1-4', '3-3', '1-3', '1-5', '1-2', '1-1', '3-2', '3-1']",0,1.0
966249769-1,"['3-3', '3-2', '3-1', '1-1', '1-2']",0,1.0
995174654-1,"['3-1', '3-3', '3-2', '1-2', '1-4', '1-1', '1-5', '1-3']",0,1.0
1004507557-1,"['1-4', '1-2', '2-2', '3-2', '3-3', '1-3', '1-1', '1-5']",0,1.0
1043895605-1,"['3-1', '3-3', '3-2', '4-5', '4-1']",0,1.0
1047910136-1,"['3-1', '3-2', '3-3', '1-3', '1-4', '1-1', '1-2', '1-5']",0,1.0
1048851406-1,"['1-4', '1-2', '1-3', '1-1', '1-5']",0,1.0
1091950884-1,"['1-4', '3-2', '1-3', '1-2', '1-1']",0,1.0
1126984120-1,"['1-4', '1-3', '1-5', '3-1', '3-2']",0,1.0
1130188049-1,"['3-3', '1-3', '1-4', '1-5', '3-1', '1-1', '3-2', '1-2']",0,1.0
1137663760-1,"['3-3', '3-2', '3-1', '2-1', '2-2']",0,1.0
1138182688-1,"['3-3', '3-1', '1-4', '4-4', '1-5']",0,1.0
1160989402-1,"['1-4', '1-1', '1-2', '1-3', '1-5']",0,1.0
1169829272-1,"['1-4', '1-5', '1-1', '1-3', '1-2']",0,1.0
1200845100-1,"['4-3', '4-5', '4-4', '4-1', '4-2']",0,1.0
1209572348-1,"['3-1', '3-2', '3-3', '1-1', '4-5']",0,1.0
1248119943-1,"['1-4', '1-2', '1-1', '1-3', '1-5']",0,1.0
1253242119-1,"['1-2', '5-1', '4-3', '2-1', '3-2']",0,1.0
1270289176-1,"['1-4', '3-1', '1-3', '3-3', '1-1']",0,1.0
1281105960-1,"['1-4', '1-2', '1-3', '1-1', '1-5']",0,1.0
1322063674-1,"['1-4', '1-5', '4-1', '1-2', '1-3', '1-1', '4-4', '4-5', '4-3', '4-2', '6-2', '6-1', '7-2', '7-1', '8-2', '8-1', '3-2', '3-3', '3-1', '2-2', '2-1']",0,1.0
1334874161-1,"['1-2', '1-3', '1-4', '1-5', '1-1']",0,1.0
1341455507-1,"['3-1', '3-2', '3-3', '1-2', '1-1', '1-4', '1-3', '1-5', '2-1', '2-2', '4-4', '4-2', '4-3', '4-5', '5-1', '5-2', '6-1', '6-2', '7-1', '7-2', '8-1', '8-2', '4-1']",0,1.0
1351235697-1,"['3-3', '1-3', '1-1', '1-4', '3-2']",0,1.0
1412645577-1,"['1-4', '1-5', '1-1', '3-2', '4-1']",0,1.0
1423892444-1,"['1-4', '1-3', '1-2', '1-5', '1-1']",0,1.0
